f1,tpr,fpr,fpr_at_tpr90,auc_roc,auc_pr,month,method,updated,total,time_sec,n_clusters,n_new_clusters,n_pruned,drift_score,ks_stat,ks_score,perf_score,novelty_score,ks_pvalue,drift_detected,emergency_flag,drift_applied,actual_frac,loss_mode,loss_before,loss_after,loss_delta,mal_rate_selected,imbalanced
0.2545016663828545,0.0211480362537764,0.628,0.6720666666666667,0.3369219536757301,0.0813537251020794,2022,Static,0,3331,2.3546,,,,,,,,,,,,,,,,,,,True
0.1905711432909717,0.0939226519337016,0.76,0.7862109253065774,0.2470810313075506,0.1100647772234926,2023,Static,0,3362,1.9567,,,,,,,,,,,,,,,,,,,True
0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698632,0.8189521291013282,2017,FullUpdate,5584,5584,2.8926,,,,,,,,,,,,,,,,,,,True
0.7798931901973541,0.4522292993630573,0.008,0.0218923076923076,0.969877388535032,0.8438837365829274,2018,FullUpdate,3314,3314,1.8842,,,,,,,,,,,,,,,,,,,True
0.3217945367932303,0.9710610932475884,0.7273333333333334,0.706,0.3391650589496249,0.1163100560881289,2019,FullUpdate,3311,3311,2.0793,,,,,,,,,,,,,,,,,,,True
0.9448383820501114,0.8757575757575757,0.0076666666666666,0.0616666666666666,0.9725176767676768,0.9151030444885936,2020,FullUpdate,3330,3330,2.227,,,,,,,,,,,,,,,,,,,True
0.8219787633783064,0.5255255255255256,0.0043333333333333,0.0679318584070796,0.9305720720720722,0.7561981445183045,2021,FullUpdate,3333,3333,2.3436,,,,,,,,,,,,,,,,,,,True
0.9604409736301434,0.9697885196374624,0.013,0.0055682242990654,0.9867165156092648,0.9551961250061756,2022,FullUpdate,3331,3331,2.2195,,,,,,,,,,,,,,,,,,,True
0.941384315536857,0.8314917127071824,0.0033333333333333,0.07,0.971762891344383,0.9129712416039526,2023,FullUpdate,3362,3362,2.0242,,,,,,,,,,,,,,,,,,,True
0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698632,0.8189521291013282,2017,Proposed,1660,5584,3.695,25.0,5.0,0.0,0.0863,0.2345,0.1494,0.0886,0.0,0.0,False,False,False,0.3,drift_reg,1.293335,0.490688,-0.802648,0.1560240963855421,True
0.8722886961689267,0.767515923566879,0.024,0.0369555555555555,0.957609872611465,0.8250585362392708,2018,Proposed,986,3314,2.547,27.0,2.0,0.0,0.3284,0.1326,0.0363,0.0463,1.0,0.0,False,False,False,0.3,drift_reg,0.942073,0.958601,0.016529,0.1095334685598377,True
0.5292579603602323,0.842443729903537,0.384,0.47,0.6408810289389069,0.1598443615522422,2019,Proposed,989,3311,2.6421,28.0,1.0,0.0,0.4437,0.6484,0.6093,0.0,0.6667,0.0,True,False,False,0.3,drift_reg,9.478777,0.451122,-9.027655,0.096056622851365,True
0.9562727272727272,0.9212121212121211,0.0086666666666666,0.0085208333333333,0.9646727272727272,0.9250477707705832,2020,Proposed,1499,3330,2.8243,29.0,1.0,0.0,0.3188,0.5266,0.474,0.0974,0.3333,0.0,False,False,True,0.45,drift_reg,0.389101,0.3807,-0.008401,0.0967311541027351,True
0.8184521299095583,0.5225225225225225,0.0053333333333333,0.0696398230088495,0.9352922922922924,0.7481386109155077,2021,Proposed,994,3333,2.9152,30.0,1.0,0.0,0.1317,0.0725,0.0,0.1057,0.3333,0.0,False,False,False,0.3,drift_reg,1.423527,0.399322,-1.024205,0.1116700201207243,True
0.9493014875850668,0.9697885196374624,0.018,0.007114953271028,0.9840080563947632,0.9478017060586388,2022,Proposed,989,3331,2.9155,35.0,5.0,0.0,0.1907,0.2042,0.1158,0.1478,0.3333,0.0,False,False,False,0.3,drift_reg,0.344319,0.139297,-0.205022,0.0950455005055611,True
0.9398918707101878,0.8314917127071824,0.004,0.0683333333333333,0.954005985267035,0.9082514391745444,2023,Proposed,1510,3362,2.776,36.0,2.0,1.0,0.7197,0.6687,0.6318,0.5564,1.0,0.0,True,True,True,0.45,drift_reg,0.537145,0.738835,0.201691,0.1072847682119205,True
