f1,tpr,fpr,fpr_at_tpr90,auc_roc,auc_pr,month,method,updated,total,time_sec,n_clusters,n_new_clusters,n_pruned,drift_score,ks_stat,ks_score,perf_score,novelty_score,ks_pvalue,drift_detected,emergency_flag,drift_applied,actual_frac,loss_mode,loss_before,loss_after,loss_delta,mal_rate_selected
0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698631,0.8189521291013282,2017,Static,0,5584,2.9312,,,,,,,,,,,,,,,,,,
0.7907216102864718,0.48089171974522293,0.009333333333333334,0.062,0.9619915074309979,0.808322148152663,2018,Static,0,3314,1.9005,,,,,,,,,,,,,,,,,,
0.2607166685085813,0.06109324758842444,0.63,0.735,0.3507293676312969,0.09725510291703834,2019,Static,0,3311,2.0558,,,,,,,,,,,,,,,,,,
0.22777414102692412,0.06666666666666667,0.6913333333333334,0.713,0.295369696969697,0.0934500494376623,2020,Static,0,3330,2.1948,,,,,,,,,,,,,,,,,,
0.31614710525134104,0.3993993993993994,0.6263333333333333,0.642,0.48122872872872874,0.2683574115026428,2021,Static,0,3333,2.3067,,,,,,,,,,,,,,,,,,
0.2545016663828545,0.021148036253776436,0.628,0.6720666666666667,0.33692195367573013,0.0813537251020794,2022,Static,0,3331,2.174,,,,,,,,,,,,,,,,,,
0.19057114329097172,0.09392265193370165,0.76,0.7862109253065774,0.24708103130755069,0.11006477722349267,2023,Static,0,3362,1.9744,,,,,,,,,,,,,,,,,,
0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698631,0.8189521291013282,2017,FullUpdate,5584,5584,2.9411,,,,,,,,,,,,,,,,,,
0.7798931901973541,0.45222929936305734,0.008,0.02189230769230769,0.9698773885350319,0.8438837365829274,2018,FullUpdate,3314,3314,1.9257,,,,,,,,,,,,,,,,,,
0.3217945367932303,0.9710610932475884,0.7273333333333334,0.706,0.3391650589496249,0.11631005608812896,2019,FullUpdate,3311,3311,2.068,,,,,,,,,,,,,,,,,,
0.9448383820501114,0.8757575757575757,0.007666666666666666,0.06166666666666667,0.9725176767676768,0.9151030444885936,2020,FullUpdate,3330,3330,2.2074,,,,,,,,,,,,,,,,,,
0.8219787633783064,0.5255255255255256,0.004333333333333333,0.06793185840707965,0.9305720720720722,0.7561981445183045,2021,FullUpdate,3333,3333,2.3178,,,,,,,,,,,,,,,,,,
0.9604409736301434,0.9697885196374623,0.013,0.005568224299065421,0.9867165156092649,0.9551961250061756,2022,FullUpdate,3331,3331,2.184,,,,,,,,,,,,,,,,,,
0.941384315536857,0.8314917127071824,0.0033333333333333335,0.07,0.971762891344383,0.9129712416039526,2023,FullUpdate,3362,3362,2.0007,,,,,,,,,,,,,,,,,,
0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698631,0.8189521291013282,2017,Ablation-Baseline,1675,5584,2.9752,,0.0,0.0,0.0863,0.2345,0.1494,0.0886,0.0,0.0,False,False,False,0.3,standard,1.293335,0.422998,-0.870338,0.09731343283582089
0.8394483071300751,0.6050955414012739,0.011666666666666667,0.02266666666666667,0.9789957537154989,0.8546426528490629,2018,Ablation-Baseline,994,3314,1.9298,,0.0,0.0,0.0748,0.1782,0.0869,0.1336,0.0,0.0,False,False,False,0.3,standard,1.183305,2.18656,1.003255,0.10362173038229376
0.1608837825507685,0.9742765273311897,0.923,0.9156666666666666,0.26377706323687033,0.24831226141279597,2019,Ablation-Baseline,993,3311,2.1245,,0.0,0.0,0.3294,0.8411,0.8234,0.0,0.0,0.0,False,False,False,0.3,standard,23.079377,1.319619,-21.759758,0.08761329305135952
0.9183222156705575,0.8818181818181818,0.02033333333333333,0.0420625,0.9579848484848486,0.8724562736143806,2020,Ablation-Baseline,999,3330,2.2064,,0.0,0.0,0.0907,0.3042,0.2269,0.0,0.0,0.0,False,False,False,0.3,standard,0.811325,0.352193,-0.459133,0.08208208208208208
0.8278850330224499,0.5255255255255256,0.0016666666666666668,0.8287543478260869,0.7290880880880881,0.39871509499426494,2021,Ablation-Baseline,999,3333,2.3381,,0.0,0.0,0.18,0.4747,0.4163,0.0448,0.0,0.0,False,False,False,0.3,standard,1.344116,0.912417,-0.431699,0.1001001001001001
0.9263567243104839,0.972809667673716,0.029333333333333333,0.01819472049689441,0.9838796576032226,0.9090530824192844,2022,Ablation-Baseline,999,3331,2.198,,0.0,0.0,0.0575,0.2294,0.1438,0.0,0.0,0.0,False,False,False,0.3,standard,0.698785,0.142445,-0.55634,0.0980980980980981
0.9391485473216242,0.8314917127071824,0.004333333333333333,0.06866666666666667,0.9476137200736648,0.6159933827487555,2023,Ablation-Baseline,1008,3362,2.0096,,0.0,0.0,0.2399,0.4421,0.3801,0.2927,0.0,0.0,False,False,False,0.3,standard,0.557948,0.456067,-0.101881,0.10813492063492064
0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698631,0.8189521291013282,2017,Ablation-+Cluster,1660,5584,3.7904,25.0,5.0,0.0,0.0863,0.2345,0.1494,0.0886,0.0,0.0,False,False,False,0.3,standard,1.293335,0.340433,-0.952903,0.15602409638554218
0.9032537154989384,0.8248407643312102,0.018333333333333333,0.021815384615384615,0.9825265392781316,0.8821442567997002,2018,Ablation-+Cluster,986,3314,2.6563,27.0,2.0,0.0,0.3458,0.1361,0.0401,0.0991,1.0,0.0,False,False,False,0.3,standard,0.866703,0.825384,-0.041319,0.10953346855983773
0.5144674637892961,0.9517684887459807,0.43533333333333335,0.43466666666666665,0.6114158628081459,0.1904271706536571,2019,Ablation-+Cluster,989,3311,2.7286,28.0,1.0,0.0,0.4746,0.7179,0.6865,0.0,0.6667,0.0,True,False,False,0.3,standard,10.262664,0.580317,-9.682347,0.09605662285136501
0.9387932654211562,0.8787878787878788,0.010666666666666666,0.0504375,0.9619055555555556,0.920353286315828,2020,Ablation-+Cluster,1499,3330,2.8741,29.0,1.0,0.0,0.2783,0.4614,0.4016,0.0588,0.3333,0.0,False,False,True,0.45,standard,0.485264,0.43639,-0.048874,0.09673115410273515
0.8212516463122606,0.5255255255255256,0.004666666666666667,0.18316194690265486,0.8929849849849849,0.6697592664228817,2021,Ablation-+Cluster,994,3333,2.9179,30.0,1.0,0.0,0.1392,0.1189,0.021,0.1027,0.3333,0.0,False,False,False,0.3,standard,1.402821,0.404517,-0.998305,0.11167002012072434
0.9767680290138094,0.9697885196374623,0.006,0.0027841121495327105,0.9862351460221551,0.9680801815663306,2022,Ablation-+Cluster,989,3331,2.9828,35.0,5.0,0.0,0.3437,0.4129,0.3477,0.3489,0.3333,0.0,False,False,False,0.3,standard,0.1909,0.099086,-0.091815,0.09504550050556117
0.9388267947628489,0.8259668508287292,0.0036666666666666666,0.06733333333333333,0.9544438305709022,0.4904509303943126,2023,Ablation-+Cluster,1510,3362,2.7145,36.0,2.0,1.0,0.6427,0.4768,0.4187,0.5839,1.0,0.0,True,True,True,0.45,standard,0.492652,0.575017,0.082364,0.10728476821192053
0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698631,0.8189521291013282,2017,Ablation-+DriftLoss,1675,5584,2.9594,,0.0,0.0,0.0863,0.2345,0.1494,0.0886,0.0,0.0,False,False,False,0.3,drift_reg,1.293335,0.215592,-1.077743,0.09731343283582089
0.8731352104293253,0.7261146496815286,0.017,0.02437283950617284,0.9802266454352442,0.845095083950811,2018,Ablation-+DriftLoss,994,3314,1.9177,,0.0,0.0,0.0207,0.1253,0.0281,0.0315,0.0,0.0,False,False,False,0.3,drift_reg,1.061441,0.818145,-0.243296,0.10362173038229376
0.17999526936047977,0.977491961414791,0.9026666666666666,0.8976666666666666,0.2795669882100751,0.24933562350431068,2019,Ablation-+DriftLoss,993,3311,2.0646,,0.0,0.0,0.323,0.8267,0.8074,0.0,0.0,0.0,False,False,False,0.3,drift_reg,22.538106,0.68667,-21.851436,0.08761329305135952
0.9566158501971922,0.8696969696969697,0.002,0.05875,0.9608535353535352,0.5786860543568267,2020,Ablation-+DriftLoss,999,3330,2.2073,,0.0,0.0,0.265,0.6541,0.6157,0.0624,0.0,0.0,False,False,False,0.3,drift_reg,0.39796,0.373404,-0.024556,0.08208208208208208
0.830141803310018,0.5255255255255256,0.0006666666666666666,0.7847877697841728,0.7681191191191191,0.49148633125212515,2021,Ablation-+DriftLoss,999,3333,2.3611,,0.0,0.0,0.4429,0.695,0.6611,0.5949,0.0,0.0,True,False,False,0.3,drift_reg,1.319241,0.534513,-0.784729,0.1001001001001001
0.9720121110994688,0.9697885196374623,0.008,0.004640186915887851,0.9860770392749245,0.9589415426369154,2022,Ablation-+DriftLoss,1498,3331,2.1933,,0.0,0.0,0.2944,0.3409,0.2677,0.6245,0.0,0.0,False,False,True,0.45,drift_reg,0.241412,0.163107,-0.078305,0.10013351134846461
0.9391485473216242,0.8314917127071824,0.004333333333333333,0.069,0.9520322283609577,0.4875785892544153,2023,Ablation-+DriftLoss,1008,3362,2.0747,,0.0,0.0,0.4112,0.5089,0.4543,0.765,0.0,0.0,True,False,False,0.3,drift_reg,0.557845,0.55536,-0.002485,0.10912698412698413
