granularity,dataset_setting,table_group,display_name,method,selection_variant,inspired_by,uses_cluster,periods,total,updated,review_ratio,f1_mean,f1_std,auc_pr_mean,auc_roc_mean,fpr_at_tpr90_mean,mal_rate_selected_mean,time_sec_total
yearly,androzoo_year_balanced,existing_yearly_baselines,Static,Static,Static,,,7,46000.0,0.0,0.0,0.5734682814214916,0.19512818093617865,0.8180257569002739,0.6814094076190477,0.5784803105945315,,19.8614
yearly,androzoo_year_balanced,existing_yearly_baselines,FullUpdate,FullUpdate,FullUpdate,,,7,46000.0,46000.0,1.0,0.847654616642526,0.14567282186802955,0.785531348123334,0.8474805901587302,0.19006950553197705,,19.8917
yearly,androzoo_year_balanced,existing_yearly_baselines,Proposed,Proposed,Proposed,,,7,46000.0,18299.0,0.397804347826087,0.8103642066056084,0.2647893286690108,0.8347761394134385,0.8472881377777778,0.19545363670921254,0.6219735185587981,24.127899999999997
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,Static,Static,Static,,,7,25565.0,0.0,0.0,0.4119398076365401,0.2796328651050026,0.32539362049098663,0.5175369410162663,0.5368396559961778,,17.8844
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,FullUpdate,FullUpdate,FullUpdate,,,7,25565.0,25565.0,1.0,0.8019252114706628,0.2229022439840121,0.7598020681984873,0.8742925578068453,0.15437986529501704,,16.6299
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,Proposed,Proposed,Proposed,,,7,25565.0,8667.0,0.339018188930178,0.825745369235751,0.26944536139835823,0.7997183863510399,0.8706963446661486,0.1768613895450344,0.17370393422347033,20.6352
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,Static,Static,Static,,,7,25565.0,0.0,0.0,0.4119398076365401,0.2796328651050026,0.32539362049098663,0.5175369410162663,0.5368396559961778,,15.537399999999998
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,FullUpdate,FullUpdate,FullUpdate,,,7,25565.0,25565.0,1.0,0.8019252114706628,0.2229022439840121,0.7598020681984873,0.8742925578068453,0.15437986529501704,,15.644699999999998
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,Ablation-Baseline,Ablation-Baseline,Ablation-Baseline,,,7,25565.0,7667.0,0.2999022100528066,0.7793129898163708,0.2765856432209962,0.6740178395914104,0.8301107760817222,0.2919445097604259,0.09670909388352497,15.781600000000001
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,Ablation-+Cluster,Ablation-+Cluster,Ablation-+Cluster,,,7,25565.0,8627.0,0.33745354977508313,0.8480724619295635,0.15711463472487028,0.7057381744648626,0.9055640315128198,0.1296855633810817,0.11033509010538367,20.6646
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,Ablation-+DriftLoss,Ablation-+DriftLoss,Ablation-+DriftLoss,,,7,25565.0,8166.0,0.3194210835126149,0.7991707300609633,0.27868708660550756,0.6328679077223903,0.8394731224462454,0.2838310661247,0.09714159056101498,15.778100000000002
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,Proposed,Proposed,Proposed,,,7,25565.0,8627.0,0.33745354977508313,0.8440873129593335,0.1491112506183206,0.761870650544588,0.9122723234495789,0.11545207121458564,0.11033509010538367,20.4705
