granularity,dataset_setting,table_group,period,display_name,method,selection_variant,inspired_by,uses_cluster,total,updated,review_ratio,f1,tpr,fpr,fpr_at_tpr90,auc_roc,auc_pr,mal_rate_selected,time_sec,source_file
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2019,Static,Static,Static,,,3311,0,0.0,0.2607166685085813,0.0610932475884244,0.63,0.735,0.3507293676312969,0.0972551029170383,,2.4368,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2020,Static,Static,Static,,,3330,0,0.0,0.2277741410269241,0.0666666666666666,0.6913333333333334,0.713,0.295369696969697,0.0934500494376623,,2.4941,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2021,Static,Static,Static,,,3333,0,0.0,0.316147105251341,0.3993993993993994,0.6263333333333333,0.642,0.4812287287287287,0.2683574115026428,,2.5957,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2022,Static,Static,Static,,,3331,0,0.0,0.2545016663828545,0.0211480362537764,0.628,0.6720666666666667,0.3369219536757301,0.0813537251020794,,2.4306,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2023,Static,Static,Static,,,3362,0,0.0,0.1905711432909717,0.0939226519337016,0.76,0.7862109253065774,0.2470810313075506,0.1100647772234926,,2.1931,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2017,FullUpdate,FullUpdate,FullUpdate,,,5584,5584,1.0,0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698632,0.8189521291013282,,3.2843,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2018,FullUpdate,FullUpdate,FullUpdate,,,3314,3314,1.0,0.7798931901973541,0.4522292993630573,0.008,0.0218923076923076,0.969877388535032,0.8438837365829274,,2.198,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2019,FullUpdate,FullUpdate,FullUpdate,,,3311,3311,1.0,0.3217945367932303,0.9710610932475884,0.7273333333333334,0.706,0.3391650589496249,0.1163100560881289,,2.1008,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2020,FullUpdate,FullUpdate,FullUpdate,,,3330,3330,1.0,0.9448383820501114,0.8757575757575757,0.0076666666666666,0.0616666666666666,0.9725176767676768,0.9151030444885936,,2.2444,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2021,FullUpdate,FullUpdate,FullUpdate,,,3333,3333,1.0,0.8219787633783064,0.5255255255255256,0.0043333333333333,0.0679318584070796,0.9305720720720722,0.7561981445183045,,2.3043,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2022,FullUpdate,FullUpdate,FullUpdate,,,3331,3331,1.0,0.9604409736301434,0.9697885196374624,0.013,0.0055682242990654,0.9867165156092648,0.9551961250061756,,2.2641,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2023,FullUpdate,FullUpdate,FullUpdate,,,3362,3362,1.0,0.941384315536857,0.8314917127071824,0.0033333333333333,0.07,0.971762891344383,0.9129712416039526,,2.234,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2017,Proposed,Proposed,Proposed,,,5584,1678,0.30050143266475643,0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698632,0.8189521291013282,0.1901072705601907,4.0399,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2018,Proposed,Proposed,Proposed,,,3314,994,0.299939649969825,0.9231805703925752,0.9363057324840764,0.0246666666666666,0.0229435897435897,0.979451167728238,0.8740029543369133,0.2273641851106639,2.5011,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2019,Proposed,Proposed,Proposed,,,3311,993,0.29990939293264873,0.221939963263698,0.9742765273311896,0.8546666666666667,0.85,0.3190948553054662,0.2459526803316258,0.1037260825780463,2.7487,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2020,Proposed,Proposed,Proposed,,,3330,1497,0.44954954954954957,0.9453194986982136,0.8696969696969697,0.0066666666666666,0.0680833333333333,0.958330303030303,0.9144415221209204,0.14562458249833,2.7531,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2021,Proposed,Proposed,Proposed,,,3333,1499,0.44974497449744977,0.9278834251485916,0.8648648648648649,0.0136666666666666,0.0796666666666666,0.954608108108108,0.8829634970163684,0.1821214142761841,2.9818,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2022,Proposed,Proposed,Proposed,,,3331,997,0.29930951666166317,0.9791742994224322,0.9697885196374624,0.005,0.0034028037383177,0.9866042296072508,0.9647474932793338,0.1905717151454363,2.9448,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,existing_yearly_baselines,2023,Proposed,Proposed,Proposed,,,3362,1009,0.3001189767995241,0.9395735090161104,0.8259668508287292,0.0033333333333333,0.0663333333333333,0.9473494475138122,0.8969684282707885,0.176412289395441,2.6658,results/performance/yearly/yearly_imbalanced_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2017,Static,Static,Static,,,5584,0,0.0,0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698632,0.8189521291013282,,2.9312,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2018,Static,Static,Static,,,3314,0,0.0,0.7907216102864718,0.4808917197452229,0.0093333333333333,0.062,0.961991507430998,0.808322148152663,,1.9005,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2019,Static,Static,Static,,,3311,0,0.0,0.2607166685085813,0.0610932475884244,0.63,0.735,0.3507293676312969,0.0972551029170383,,2.0558,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2020,Static,Static,Static,,,3330,0,0.0,0.2277741410269241,0.0666666666666666,0.6913333333333334,0.713,0.295369696969697,0.0934500494376623,,2.1948,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2021,Static,Static,Static,,,3333,0,0.0,0.316147105251341,0.3993993993993994,0.6263333333333333,0.642,0.4812287287287287,0.2683574115026428,,2.3067,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2022,Static,Static,Static,,,3331,0,0.0,0.2545016663828545,0.0211480362537764,0.628,0.6720666666666667,0.3369219536757301,0.0813537251020794,,2.174,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2023,Static,Static,Static,,,3362,0,0.0,0.1905711432909717,0.0939226519337016,0.76,0.7862109253065774,0.2470810313075506,0.1100647772234926,,1.9744,results/performance/yearly/yearly_imbalanced_ablation_results.csv
