method,months,macro_f1_mean,macro_f1_std,auc_pr_mean,auc_roc_mean,fpr_at_tpr90_mean,label_update_ratio,time_sec_mean,time_sec_total,drift_detected_months,new_clusters_total
Random+Standard,36,0.8795241692631878,0.06712369926213692,0.8364451144571053,0.9421182073240618,0.14529668075557717,0.3327381546720546,2.2679638888888887,81.6467,0,0
Cluster+Standard,36,0.8930790567887552,0.06749100255704271,0.8415182400233931,0.9477862001685854,0.11381679078570928,0.3327381546720546,5.18585,186.69060000000002,0,59
UncertaintyOnly,36,0.889086530016648,0.06896779808486206,0.846539974138543,0.9511647158968994,0.11037488646582666,0.3327381546720546,2.1279194444444443,76.6051,0,0
ScoreShiftOnly,36,0.8582895917600967,0.08205878113018861,0.7907520478141582,0.9218126534567974,0.2006306970732884,0.3327381546720546,2.1330388888888887,76.78939999999999,0,0
Random+DriftLoss,36,0.877079321083713,0.07777755132668618,0.8328101580195142,0.945818465550859,0.12112876715992786,0.3327381546720546,2.1248805555555554,76.4957,0,0
Cluster+DriftScore,36,0.8964517594106253,0.05575837097705519,0.8546330570425362,0.9514188114562536,0.12199909603096334,0.3327381546720546,5.059947222222223,182.15810000000002,5,59
Proposed,36,0.8886747911924258,0.06566069917393974,0.8340688854187353,0.9470255641342717,0.1345168182008892,0.3327381546720546,5.211733333333334,187.62240000000003,9,59
