cluster_id,n_total,n_malware,n_goodware,dominant_label,purity,n_train_samples,mal_ratio_train,top_features,cluster_age
0,31,5,26,goodware,0.8387,57034,0.0151,app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.171); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.170); api_permissions::android_permission_VIBRATE(+0.165); api_permissions::android_permission_WAKE_LOCK(+0.163); activities::com_vonage_TimeToCall_Activities_WhatsNewActivity(-0.160),36
1,8,0,8,goodware,1.0,6206,0.0206,activities::_RollNoteActivity(+0.194); intents::android_intent_category_LAUNCHER(-0.193); interesting_calls::getSystemService(-0.193); api_permissions::android_permission_INTERNET(-0.191); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.189),35
2,21,0,21,goodware,1.0,1948,0.0026,activities::_RollNoteActivity(+0.210); intents::android_intent_category_LAUNCHER(-0.210); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.208); api_permissions::android_permission_INTERNET(-0.205); interesting_calls::getSystemService(-0.203),27
3,15,0,15,goodware,1.0,11110,0.0436,urls::http://plus_google_com/(+0.164); activities::_bActivity(+0.159); interesting_calls::getSystemService(-0.158); api_permissions::android_permission_INTERNET(-0.158); activities::_RollNoteActivity(+0.158),36
4,332,42,290,goodware,0.8735,5209,0.0025,api_permissions::android_permission_WAKE_LOCK(+0.272); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.265); api_calls::android/os/PowerManager$WakeLock;->acquire(-0.262); interesting_calls::getSystemService(-0.256); api_permissions::android_permission_INTERNET(-0.254),35
5,83,1,82,goodware,0.988,3414,0.0044,activities::appinventor_ai_avalozdot91_InformaT_Servicios(-0.268); activities::com_prometil_coovia_route_RouteListActivity(+0.253); activities::_RollNoteActivity(+0.249); intents::android_intent_category_LAUNCHER(-0.248); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.243),35
6,34,0,34,goodware,1.0,7754,0.1112,activities::_RollNoteActivity(+0.228); interesting_calls::getSystemService(-0.228); intents::android_intent_category_LAUNCHER(-0.228); api_permissions::android_permission_INTERNET(-0.227); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.214),36
7,513,4,509,goodware,0.9922,10981,0.0302,activities::_VideosItem(+0.148); api_permissions::android_permission_VIBRATE(+0.148); activities::_Suggestions(-0.147); activities::_DependenciasMunicipalesActivity(-0.147); activities::com_carx_fluvial_mapsdemo_Cnlbourgogne(+0.147),36
8,21,0,21,goodware,1.0,6122,0.0201,activities::_RollNoteActivity(+0.243); intents::android_intent_category_LAUNCHER(-0.242); interesting_calls::getSystemService(-0.237); api_permissions::android_permission_INTERNET(-0.233); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.223),36
9,910,9,901,goodware,0.9901,3582,0.019,activities::_RollNoteActivity(+0.134); intents::android_intent_category_LAUNCHER(-0.132); interesting_calls::getSystemService(-0.132); api_permissions::android_permission_INTERNET(-0.132); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.132),34
10,12,0,12,goodware,1.0,3667,0.0316,activities::_RollNoteActivity(+0.349); intents::android_intent_category_LAUNCHER(-0.346); api_permissions::android_permission_INTERNET(-0.306); interesting_calls::getSystemService(-0.306); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.305),34
11,437,3,434,goodware,0.9931,5669,0.2417,activities::ncarb_mobile_droid_activities_ExperienceReportActivity(+0.213); s_and_r::com_icapp_lichvansu_setting_notifications_AlarmAlertBroadcastReciever(-0.211); urls::http://media_admob_com/mraid/v1/mraid_app_banner_js(-0.211); activities::com_iyd_TreeView_TreeViewActivity(+0.210); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.209),36
12,22,0,22,goodware,1.0,4424,0.0079,api_calls::android/content/ContentResolver;->query(+0.277); activities::appinventor_ai_avalozdot91_InformaT_Servicios(-0.275); activities::_RollNoteActivity(+0.271); interesting_calls::getSystemService(-0.271); intents::android_intent_category_LAUNCHER(-0.270),36
13,140,56,84,goodware,0.6,10221,0.4768,activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.192); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.187); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.183); activities::_RollNoteActivity(+0.183); intents::android_intent_category_LAUNCHER(-0.182),35
14,172,0,172,goodware,1.0,1432,0.125,app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.139); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.138); activities::_RollNoteActivity(+0.137); interesting_calls::getDeviceId(-0.137); api_permissions::android_permission_INTERNET(-0.137),31
15,214,0,214,goodware,1.0,4165,0.0118,activities::com_lenovo_leos_cloud_sync_file_activity_DocumentsOperateActivityV2(-0.191); activities::com_vonage_TimeToCall_Activities_WhatsNewActivity(-0.191); activities::_VideosItem(+0.189); activities::_RollNoteActivity(+0.189); intents::android_intent_category_LAUNCHER(-0.189),35
