cluster_id,n_total,n_malware,n_goodware,dominant_label,purity,n_train_samples,mal_ratio_train,top_features,cluster_age
23,176,6,170,goodware,0.9659,811,0.5931,app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.168); activities::au_com_fujifilm_transpix_LanguageActivity(+0.166); api_calls::android/accounts/AccountManager;->invalidateAuthToken(-0.162); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.158); api_permissions::android_permission_ACCESS_FINE_LOCATION(-0.156),33
24,334,66,268,goodware,0.8024,2320,0.2323,activities::_activity_MessageCenterActivity(+0.145); activities::_FullScreen(+0.137); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.136); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.136); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.132),33
27,379,205,174,malware,0.5409,3055,0.0236,activities::_RollNoteActivity(+0.262); api_permissions::android_permission_WAKE_LOCK(+0.262); intents::android_intent_category_LAUNCHER(-0.261); interesting_calls::getSystemService(-0.250); api_permissions::android_permission_INTERNET(-0.244),32
28,66,21,45,goodware,0.6818,291,0.0378,api_permissions::android_permission_VIBRATE(+0.148); api_permissions::android_permission_WAKE_LOCK(+0.097); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.096); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.093); activities::com_vonage_TimeToCall_Activities_WhatsNewActivity(-0.092),29
29,81,9,72,goodware,0.8889,1243,0.0056,app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.163); urls::http://xmlpull_org/v1/doc/features_html(+0.152); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.149); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.146); activities::com_vonage_TimeToCall_Activities_WhatsNewActivity(-0.145),33
30,504,24,480,goodware,0.9524,707,0.0085,activities::com_usps_ratecalc_RateCalcResultTableView1(-0.181); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.163); activities::_VideosItem(+0.162); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.159); api_calls::android/app/NotificationManager;->notify(-0.156),32
31,203,9,194,goodware,0.9557,444,0.027,activities::com_usps_ratecalc_RateCalcResultTableView1(-0.127); api_permissions::android_permission_WAKE_LOCK(+0.123); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.123); api_permissions::android_permission_ACCESS_FINE_LOCATION(-0.119); api_permissions::android_permission_VIBRATE(+0.119),30
32,202,1,201,goodware,0.995,451,0.0155,activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.163); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.163); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.161); activities::Long Press Image > Save & Wallpaper(-0.159); activities::_RollNoteActivity(+0.154),28
33,61,1,60,goodware,0.9836,1572,0.007,activities::com_ijinshan_kbatterydoctor_msgcenter_MessageExternalActivity(+0.186); api_permissions::android_permission_CAMERA(+0.186); api_permissions::android_permission_VIBRATE(+0.178); activities::com_neusoft_td_android_wo116114_ui_news_LifeNewsDetailView(-0.175); activities::_RollNoteActivity(+0.165),31
34,2718,2271,447,malware,0.8355,156,0.3013,activities::VsRankingAct(-0.085); activities::_activity_MessageCenterActivity(+0.083); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.082); activities::Long Press Image > Save & Wallpaper(-0.078); activities::_FullScreen(+0.078),27
