exp_name,wall_time_sec,peak_mem_mb,timestamp
proposed_performance_suite,959.42,2858.4,2026-05-27 18:21:35
proposed_performance_suite,952.27,2859.0,2026-05-27 18:40:40
proposed_performance_suite,947.12,2861.9,2026-05-27 18:58:58
proposed_performance_suite,956.26,2862.6,2026-05-27 19:17:11
