month,cluster_id,n_samples,n_benign,n_malicious,mal_ratio,age,birth_month,is_new,top_features
2017,10,1756,531,1225,0.6976,1,0,False,Ljava/lang/StringBuilder;.append:(C)Ljava/lang/StringBuilder;(-0.091); Ljava/io/File;.mkdirs:()Z(+0.091); Landroid/content/Context;.startActivity:(Landroid/content/Intent;)V(-0.090); Ljava/lang/String;.valueOf:(Ljava/lang/Object;)Ljava/lang/String;(-0.090); Landroid/content/Intent;.addFlags:(I)Landroid/content/Intent;(+0.090); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.090); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.090); Ljava/lang/String;.valueOf:(I)Ljava/lang/String;(+0.090); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.090); Landroid/net/ConnectivityManager;.getActiveNetworkInfo:()Landroid/net/NetworkInfo;(+0.090)
2017,11,696,251,445,0.6394,1,0,False,Landroid/os/Process;.killProcess:(I)V(+0.158); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.154); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.152); Ljava/net/URLConnection;.getInputStream:()Ljava/io/InputStream;(-0.152); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.150); Ljava/net/URLConnection;.getOutputStream:()Ljava/io/OutputStream;(+0.149); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.149); Ljava/io/File;.exists:()Z(-0.148); Landroid/os/Process;.myPid:()I(-0.148); Landroid/location/LocationManager;.getProviders:(Landroid/location/Criteria;Z)Ljava/util/List;(+0.147)
2017,12,1140,119,1021,0.8956,1,0,False,Ljava/net/HttpURLConnection;.getErrorStream:()Ljava/io/InputStream;(-0.082); Ljava/net/URLConnection;.getInputStream:()Ljava/io/InputStream;(-0.082); Ljava/lang/StringBuffer;.append:(J)Ljava/lang/StringBuffer;(+0.080); Landroid/webkit/WebView;.stopLoading:()V(+0.079); Ljava/net/HttpURLConnection;.setInstanceFollowRedirects:(Z)V(-0.078); Ljava/lang/StringBuffer;.append:(I)Ljava/lang/StringBuffer;(+0.076); Ljava/net/HttpURLConnection;.getHeaderField:(Ljava/lang/String;)Ljava/lang/String;(-0.075); Landroid/os/Handler;.obtainMessage:(ILjava/lang/Object;)Landroid/os/Message;(+0.075); Landroid/webkit/WebViewClient;.onPageFinished:(Landroid/webkit/WebView;Ljava/lang/String;)V(-0.075); Landroid/os/PowerManager$WakeLock;.release:()V(+0.075)
2017,13,470,310,160,0.3404,1,0,False,Landroid/os/Process;.myPid:()I(-0.106); Landroid/location/LocationManager;.isProviderEnabled:(Ljava/lang/String;)Z(+0.106); Landroid/content/ContentResolver;.delete:(Landroid/net/Uri;Ljava/lang/String;[Ljava/lang/String;)I(-0.105); Landroid/media/AudioRecord;.startRecording:()V(-0.104); Ljava/net/ServerSocket;.close:()V(+0.104); Landroid/media/AudioRecord;.getMinBufferSize:(III)I(+0.104); Landroid/media/AudioRecord;.release:()V(-0.104); Ljava/io/File;.mkdirs:()Z(+0.104); Landroid/webkit/WebView;.<init>:(Landroid/content/Context;Landroid/util/AttributeSet;I)V(+0.103); Landroid/media/AudioRecord;.stop:()V(-0.103)
2017,14,1182,273,909,0.769,1,0,False,Landroid/content/Context;.getApplicationInfo:()Landroid/content/pm/ApplicationInfo;(+0.102); Landroid/webkit/WebView;.addJavascriptInterface:(Ljava/lang/Object;Ljava/lang/String;)V(-0.102); Landroid/webkit/WebView;.setWebChromeClient:(Landroid/webkit/WebChromeClient;)V(-0.102); Ljava/lang/StringBuilder;.append:(F)Ljava/lang/StringBuilder;(+0.101); Ljava/lang/String;.valueOf:(I)Ljava/lang/String;(+0.101); Ljava/lang/StringBuilder;.append:(Z)Ljava/lang/StringBuilder;(-0.101); Landroid/net/ConnectivityManager;.getActiveNetworkInfo:()Landroid/net/NetworkInfo;(+0.101); Ljava/net/URL;.openConnection:()Ljava/net/URLConnection;(-0.101); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.101); Landroid/webkit/WebView;.destroy:()V(+0.101)
2017,15,2645,2323,322,0.1217,1,0,False,Ljava/net/HttpURLConnection;.getHeaderField:(Ljava/lang/String;)Ljava/lang/String;(-0.095); Landroid/webkit/WebView;.setVisibility:(I)V(-0.094); Ljava/net/HttpURLConnection;.setInstanceFollowRedirects:(Z)V(-0.093); Ljava/io/FileOutputStream;.write:([BII)V(+0.093); Ljava/lang/String;.getBytes:(Ljava/lang/String;)[B(-0.093); Landroid/webkit/WebView;.setWebViewClient:(Landroid/webkit/WebViewClient;)V(+0.093); Ljava/net/HttpURLConnection;.setRequestProperty:(Ljava/lang/String;Ljava/lang/String;)V(-0.092); Ljava/net/HttpURLConnection;.setReadTimeout:(I)V(+0.092); Landroid/webkit/WebViewClient;.<init>:()V(-0.092); Landroid/app/Activity;.startActivityForResult:(Landroid/content/Intent;I)V(+0.092)
2017,16,3863,2546,1317,0.3409,1,0,False,Landroid/webkit/WebView;.getSettings:()Landroid/webkit/WebSettings;(+0.120); Landroid/webkit/WebView;.onResume:()V(+0.117); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.117); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.117); Landroid/webkit/WebView;.onPause:()V(-0.117); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.116); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.116); Landroid/telephony/TelephonyManager;.getNetworkOperator:()Ljava/lang/String;(-0.115); Landroid/webkit/WebView;.onTouchEvent:(Landroid/view/MotionEvent;)Z(+0.115); Landroid/webkit/WebViewClient;.<init>:()V(-0.115)
2017,17,346,2,344,0.9942,1,0,False,Ljava/io/FileOutputStream;.write:([BII)V(+0.439); Ljava/lang/Runtime;.exec:(Ljava/lang/String;)Ljava/lang/Process;(+0.400); Ljava/io/File;.exists:()Z(-0.379); Ljava/io/File;.mkdirs:()Z(+0.362); Ljava/io/File;.mkdir:()Z(+0.170); Ljava/io/File;.delete:()Z(+0.159); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.124); Ljava/net/HttpURLConnection;.getContentLength:()I(+0.114); Ljava/net/HttpURLConnection;.setRequestMethod:(Ljava/lang/String;)V(+0.093); Ljava/lang/String;.indexOf:(II)I(+0.085)
2017,18,686,593,93,0.1356,1,0,False,Landroid/webkit/WebView;.canGoBack:()Z(-0.139); Landroid/webkit/WebView;.loadUrl:(Ljava/lang/String;)V(-0.139); Landroid/webkit/WebView;.goBack:()V(+0.139); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.134); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.133); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.133); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.132); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.131); Landroid/webkit/WebView;.<init>:(Landroid/content/Context;Landroid/util/AttributeSet;)V(-0.130); Ljava/io/File;.mkdirs:()Z(+0.130)
2017,19,783,676,107,0.1367,1,0,False,Landroid/webkit/WebViewClient;.<init>:()V(-0.148); Landroid/webkit/WebView;.getSettings:()Landroid/webkit/WebSettings;(+0.144); Landroid/webkit/WebView;.setWebViewClient:(Landroid/webkit/WebViewClient;)V(+0.144); Ljavax/crypto/Cipher;.getInstance:(Ljava/lang/String;)Ljavax/crypto/Cipher;(+0.143); Ljavax/crypto/Cipher;.doFinal:([B)[B(+0.142); Landroid/webkit/WebView;.<init>:(Landroid/content/Context;)V(-0.142); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.141); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.141); Ljava/net/HttpURLConnection;.setInstanceFollowRedirects:(Z)V(-0.141); Ljava/net/HttpURLConnection;.getHeaderField:(Ljava/lang/String;)Ljava/lang/String;(-0.141)
2017,20,33,9,24,0.7273,0,0,True,Landroid/webkit/WebView;.loadUrl:(Ljava/lang/String;)V(-0.319); Landroid/webkit/WebView;.goBack:()V(+0.305); Landroid/webkit/WebView;.setWebViewClient:(Landroid/webkit/WebViewClient;)V(+0.298); Landroid/webkit/WebView;.canGoBack:()Z(-0.297); Landroid/webkit/WebView;.setWebChromeClient:(Landroid/webkit/WebChromeClient;)V(-0.295); Landroid/webkit/WebViewClient;.<init>:()V(-0.269); Landroid/webkit/WebView;.getSettings:()Landroid/webkit/WebSettings;(+0.253); Landroid/webkit/WebView;.<init>:(Landroid/content/Context;)V(-0.163); Landroid/webkit/WebViewClient;.onPageFinished:(Landroid/webkit/WebView;Ljava/lang/String;)V(-0.148); Landroid/webkit/WebView;.addJavascriptInterface:(Ljava/lang/Object;Ljava/lang/String;)V(-0.145)
2018,0,2247,467,1780,0.7922,2,0,False,Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.222); Ljava/io/File;.exists:()Z(-0.212); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.205); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.199); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.189); Ljava/io/File;.delete:()Z(+0.186); Ljava/lang/String;.getBytes:()[B(+0.184); Ljava/lang/String;.valueOf:(Ljava/lang/Object;)Ljava/lang/String;(-0.175); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.175); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.170)
2018,1,1444,1149,295,0.2043,2,0,False,Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.206); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.204); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.200); Landroid/app/Activity;.startActivityForResult:(Landroid/content/Intent;I)V(+0.200); Ljava/lang/StringBuilder;.append:(C)Ljava/lang/StringBuilder;(-0.199); Ljava/io/File;.exists:()Z(-0.196); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.195); Ljava/io/File;.delete:()Z(+0.193); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.192); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.190)
2018,2,1792,572,1220,0.6808,2,0,False,Landroid/location/LocationManager;.getLastKnownLocation:(Ljava/lang/String;)Landroid/location/Location;(-0.089); Ljava/lang/StringBuilder;.append:(D)Ljava/lang/StringBuilder;(+0.088); Ljava/net/HttpURLConnection;.setRequestMethod:(Ljava/lang/String;)V(+0.087); Ljava/lang/StringBuilder;.append:(F)Ljava/lang/StringBuilder;(+0.087); Ljava/lang/String;.getBytes:()[B(+0.087); Landroid/webkit/WebView;.<init>:(Landroid/content/Context;)V(-0.087); Landroid/webkit/WebViewClient;.onReceivedError:(Landroid/webkit/WebView;ILjava/lang/String;Ljava/lang/String;)V(+0.087); Landroid/net/ConnectivityManager;.getActiveNetworkInfo:()Landroid/net/NetworkInfo;(+0.087); Ljava/lang/String;.indexOf:(Ljava/lang/String;)I(+0.087); Ljava/io/File;.mkdirs:()Z(+0.086)
