month,cluster_id,n_samples,n_benign,n_malicious,mal_ratio,age,birth_month,is_new,top_features
2017,10,161,161,0,0.0,0,0,False,Ljava/lang/String;.valueOf:(C)Ljava/lang/String;(-0.085); Ljava/net/HttpURLConnection;.getRequestProperty:(Ljava/lang/String;)Ljava/lang/String;(-0.084); Landroid/app/ActivityManager;.getRunningTasks:(I)Ljava/util/List;(-0.084); Landroid/net/wifi/WifiManager;.getConnectionInfo:()Landroid/net/wifi/WifiInfo;(+0.084); Landroid/net/NetworkInfo;.isConnectedOrConnecting:()Z(+0.083); Ljava/lang/String;.valueOf:(J)Ljava/lang/String;(-0.083); Ljava/net/HttpURLConnection;.setFixedLengthStreamingMode:(I)V(+0.082); Landroid/webkit/WebView;.getParent:()Landroid/view/ViewParent;(-0.082); Landroid/webkit/WebView;.getUrl:()Ljava/lang/String;(-0.082); Ljava/lang/StringBuffer;.append:(Ljava/lang/StringBuffer;)Ljava/lang/StringBuffer;(-0.082)
2017,11,1628,1426,202,0.1241,1,0,False,Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.154); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.153); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.151); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.149); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.149); Ljava/io/File;.exists:()Z(-0.146); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.146); Ljava/lang/StringBuilder;.append:(C)Ljava/lang/StringBuilder;(-0.145); Ljava/lang/String;.valueOf:(I)Ljava/lang/String;(+0.144); Ljava/io/File;.delete:()Z(+0.141)
2017,12,608,600,8,0.0132,1,0,False,Ljava/net/HttpURLConnection;.setDefaultUseCaches:(Z)V(+0.085); Ljava/net/HttpURLConnection;.setFixedLengthStreamingMode:(I)V(+0.084); Ljava/net/HttpURLConnection;.getHeaderFieldInt:(Ljava/lang/String;I)I(-0.084); Ljava/net/HttpURLConnection;.getRequestMethod:()Ljava/lang/String;(+0.083); Ljava/net/HttpURLConnection;.getContentType:()Ljava/lang/String;(+0.083); Ljava/net/HttpURLConnection;.getResponseMessage:()Ljava/lang/String;(+0.082); Ljava/net/HttpURLConnection;.getContentLength:()I(+0.082); Ljava/lang/StringBuilder;.append:(D)Ljava/lang/StringBuilder;(+0.082); Ljava/net/HttpURLConnection;.getHeaderField:(I)Ljava/lang/String;(+0.082); Ljava/lang/StringBuilder;.append:(F)Ljava/lang/StringBuilder;(+0.082)
2017,13,631,309,322,0.5103,1,0,False,Ljava/io/File;.exists:()Z(-0.298); Ljava/io/FileOutputStream;.write:([BII)V(+0.272); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.267); Ljava/io/File;.mkdir:()Z(+0.248); Ljava/io/File;.delete:()Z(+0.247); Ljava/lang/System;.loadLibrary:(Ljava/lang/String;)V(-0.235); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.231); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.223); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.203); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.186)
2017,14,394,393,1,0.0025,1,0,False,Ljava/io/File;.mkdirs:()Z(+0.149); Landroid/webkit/WebView;.canGoBack:()Z(-0.147); Landroid/webkit/WebView;.goBack:()V(+0.144); Landroid/webkit/WebViewClient;.onPageFinished:(Landroid/webkit/WebView;Ljava/lang/String;)V(-0.141); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.140); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.138); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.137); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.136); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.136); Landroid/webkit/WebViewClient;.onPageStarted:(Landroid/webkit/WebView;Ljava/lang/String;Landroid/graphics/Bitmap;)V(-0.135)
2017,15,1202,1187,15,0.0125,1,0,False,Landroid/webkit/WebViewDatabase;.clearHttpAuthUsernamePassword:()V(+0.104); Ljava/net/URL;.openConnection:()Ljava/net/URLConnection;(-0.103); Ljava/net/HttpURLConnection;.setRequestProperty:(Ljava/lang/String;Ljava/lang/String;)V(-0.103); Landroid/app/Activity;.startActivityForResult:(Landroid/content/Intent;I)V(+0.103); Landroid/content/Context;.startActivity:(Landroid/content/Intent;)V(-0.103); Ljava/lang/String;.getBytes:()[B(+0.103); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.102); Ljava/net/HttpURLConnection;.setRequestMethod:(Ljava/lang/String;)V(+0.102); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.102); Ljava/lang/String;.valueOf:(I)Ljava/lang/String;(+0.102)
2017,16,335,318,17,0.0507,1,0,False,Landroid/os/Process;.myPid:()I(-0.105); Landroid/location/LocationManager;.isProviderEnabled:(Ljava/lang/String;)Z(+0.104); Landroid/webkit/WebView;.<init>:(Landroid/content/Context;Landroid/util/AttributeSet;I)V(+0.103); Ljava/io/File;.mkdir:()Z(+0.103); Landroid/content/Context;.sendBroadcast:(Landroid/content/Intent;)V(+0.102); Landroid/media/AudioRecord;.startRecording:()V(-0.102); Landroid/content/ContentResolver;.delete:(Landroid/net/Uri;Ljava/lang/String;[Ljava/lang/String;)I(-0.102); Landroid/media/AudioRecord;.getMinBufferSize:(III)I(+0.102); Landroid/media/AudioRecord;.stop:()V(-0.101); Landroid/media/AudioRecord;.release:()V(-0.101)
2017,17,109,76,33,0.3028,1,0,False,Ljava/net/HttpURLConnection;.getResponseMessage:()Ljava/lang/String;(+0.103); Landroid/app/NotificationManager;.notify:(ILandroid/app/Notification;)V(+0.102); Ljava/lang/Runtime;.exec:([Ljava/lang/String;)Ljava/lang/Process;(-0.102); Ljava/lang/String;.indexOf:(I)I(-0.101); Ljava/lang/StringBuffer;.append:(Z)Ljava/lang/StringBuffer;(-0.101); Ljava/net/HttpURLConnection;.getContentLength:()I(+0.100); Ljava/net/HttpURLConnection;.getResponseCode:()I(-0.099); Ljava/lang/StringBuffer;.append:(D)Ljava/lang/StringBuffer;(+0.099); Landroid/telephony/TelephonyManager;.getDeviceId:()Ljava/lang/String;(+0.099); Ljava/net/HttpURLConnection;.getHeaderField:(Ljava/lang/String;)Ljava/lang/String;(-0.099)
2017,18,538,533,5,0.0093,1,0,False,Landroid/app/Activity;.startActivityForResult:(Landroid/content/Intent;I)V(+0.187); Ljava/lang/StringBuilder;.append:(C)Ljava/lang/StringBuilder;(-0.179); Landroid/content/Context;.startActivity:(Landroid/content/Intent;)V(-0.178); Landroid/app/Activity;.startActivity:(Landroid/content/Intent;)V(+0.176); Landroid/content/ContentResolver;.openInputStream:(Landroid/net/Uri;)Ljava/io/InputStream;(-0.176); Landroid/content/Intent;.addFlags:(I)Landroid/content/Intent;(+0.176); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.175); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.175); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.175); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.175)
2017,19,2690,2613,77,0.0286,1,0,False,Ljava/io/File;.mkdirs:()Z(+0.101); Ljava/net/HttpURLConnection;.addRequestProperty:(Ljava/lang/String;Ljava/lang/String;)V(-0.101); Landroid/content/Intent;.setDataAndType:(Landroid/net/Uri;Ljava/lang/String;)Landroid/content/Intent;(-0.099); Ljava/lang/String;.valueOf:(Z)Ljava/lang/String;(-0.098); Ljava/net/HttpURLConnection;.setDoInput:(Z)V(+0.096); Landroid/app/Activity;.setContentView:(Landroid/view/View;Landroid/view/ViewGroup$LayoutParams;)V(-0.096); Ljava/io/File;.exists:()Z(-0.096); Ljava/lang/String;.valueOf:(I)Ljava/lang/String;(+0.096); Landroid/content/Context;.getApplicationInfo:()Landroid/content/pm/ApplicationInfo;(+0.096); Landroid/media/MediaPlayer;.start:()V(-0.095)
