month,method,selection_variant,inspired_by,total,updated,review_ratio_target,actual_frac,uses_cluster,loss_mode,loss_before,loss_after,loss_delta,mal_rate_selected,time_sec,f1,tpr,fpr,fpr_at_tpr90,auc_roc,auc_pr,selection_score_mean,closest_malware_rate,drift_score,ks_stat,n_clusters
2016-01,Random selection,Random selection,naive baseline,3820,1271,0.3327381546720546,0.3327225130890052,False,standard,1.3868637957052394,0.8975952279319283,-0.4892685677733112,0.083398898505114,1.6546,0.7350407851336704,0.3702623906705539,0.0094909404659188,0.1541558815070463,0.9210580818053832,0.713967937985939,,,,,
2016-02,Random selection,Random selection,naive baseline,4436,1476,0.3327381546720546,0.3327321911632101,False,standard,0.9649404046953384,0.5844134108342265,-0.3805269938611119,0.1212737127371273,2.4636,0.8954756332489533,0.8511530398322851,0.0287951502904773,0.122253094215711,0.9485239956938072,0.8308725141389375,,,,,
2016-03,Random selection,Random selection,naive baseline,6454,2147,0.3327381546720546,0.3326619150914162,False,standard,0.6611771878981799,0.5970769933571356,-0.0641001945410443,0.1052631578947368,3.1999,0.914876844719138,0.8220472440944881,0.0132325141776937,0.0531019075442515,0.970822976050489,0.8850162837601179,,,,,
2016-04,Random selection,Random selection,naive baseline,6981,2322,0.3327381546720546,0.3326171035668242,False,standard,0.7958904507284601,0.3368385385971235,-0.4590519121313366,0.0917312661498708,4.5583,0.8940610940512748,0.8120915032679739,0.0193122939236928,0.0640602920395666,0.96466352543006,0.8521871021809592,,,,,
2016-05,Random selection,Random selection,naive baseline,4502,1497,0.3327381546720546,0.3325188804975566,False,standard,0.6115717196425289,0.6285459585548989,0.01697423891237,0.104876419505678,2.6091,0.9220350524965584,0.7920353982300885,0.0059259259259259,0.1466666666666666,0.9492002622091118,0.8863806974402839,,,,,
2016-06,Random selection,Random selection,naive baseline,3085,1026,0.3327381546720546,0.3325769854132901,False,standard,1.0236513661625846,0.5794252226299019,-0.4442261435326826,0.0867446393762183,1.9575,0.8768293183256883,0.9244604316546764,0.0441752760954756,0.0366939793373708,0.9699517906159576,0.8377303017407627,,,,,
2016-07,Random selection,Random selection,naive baseline,3377,1123,0.3327381546720546,0.3325436778205508,False,standard,0.6772848077488558,0.7114195322119112,0.0341347244630554,0.1068566340160284,2.3958,0.916459140760287,0.875,0.0211570247933884,0.0264462809917355,0.9794243050338092,0.8860228118727249,,,,,
2016-08,Random selection,Random selection,naive baseline,5447,1812,0.3327381546720546,0.3326601799155498,False,standard,1.01877020735015,0.6552726311905163,-0.3634975761596338,0.1059602649006622,3.0695,0.8692573568239643,0.7641843971631206,0.0268277698136391,0.1091542084783944,0.949317032750765,0.808374908557956,,,,,
2016-09,Random selection,Random selection,naive baseline,1526,507,0.3327381546720546,0.3322411533420707,False,standard,0.8451282903955835,0.8164992357927976,-0.0286290546027858,0.1025641025641025,0.7597,0.8941530300255809,0.7027027027027027,0.0043541364296081,0.2576197387518142,0.9320328129290392,0.8383577119652398,,,,,
2016-10,Random selection,Random selection,naive baseline,839,279,0.3327381546720546,0.33253873659118,False,standard,0.8087239947897027,0.6125006559199171,-0.1962233388697856,0.1003584229390681,0.4192,0.8851129297290331,0.8024691358024691,0.0237467018469656,0.3178100263852242,0.9286703149939738,0.8181305177901749,,,,,
2016-11,Random selection,Random selection,naive baseline,213,70,0.3327381546720546,0.3286384976525822,False,standard,1.5664832149210552,2.0746424032337725,0.5081591883127172,0.1,0.132,0.8165374677002584,0.5652173913043478,0.0157894736842105,0.3789473684210526,0.8771167048054919,0.6976837088387249,,,,,
2016-12,Random selection,Random selection,naive baseline,75,24,0.3327381546720546,0.32,False,standard,2.118187827274774,2.418094012709743,0.2999061854349691,0.125,0.0675,0.6685415829650462,0.5,0.1044776119402985,0.7014925373134329,0.7966417910447761,0.4727609097654829,,,,,
2017-01,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,2.6496047279701207,0.4651871261832822,-2.1844176017868384,0.1068169618894256,2.9069,0.69156726636713,0.52,0.09,0.2774,0.8622179999999999,0.5373192322388017,,,,,
2017-02,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.534157653952003,0.5982511045718761,0.0640934506198731,0.1084272678475577,3.1683,0.9291489134549124,0.835,0.0094,0.0252,0.9685381666666668,0.9020643253173188,,,,,
2017-03,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.9947157450407392,0.5733570855685128,-0.4213586594722264,0.1084272678475577,3.0658,0.7998350155279503,0.4716666666666667,0.0026,0.1748,0.940594,0.8484586109556449,,,,,
2017-04,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.5635345259465223,0.3504886968946344,-0.2130458290518879,0.1025228126677402,2.8838,0.9252779644541396,0.91,0.0226,0.0164,0.964019,0.9142989013054298,,,,,
2017-05,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.7181519318333226,0.4665797669405417,-0.2515721648927809,0.1100375738056897,2.7424,0.9035034862016612,0.7733333333333333,0.0118,0.4906,0.9167293333333332,0.8464459795737669,,,,,
2017-06,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.733071521918237,0.4356940702623798,-0.2973774516558572,0.1009125067096081,2.605,0.9068033240591546,0.835,0.0202,0.1174,0.9613978333333332,0.8776711364024332,,,,,
2017-07,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.5089350982276518,0.3133137472854759,-0.1956213509421759,0.1019860440150295,3.027,0.935871512111468,0.95,0.0232,0.0086,0.9754208333333334,0.9283284878598768,,,,,
2017-08,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.3524408174259048,0.7742964323310012,0.4218556149050964,0.1132581857219538,2.8289,0.9462871891458268,0.8583333333333333,0.005,0.0066,0.9805331666666668,0.9289474420590588,,,,,
2017-09,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.896924574207313,0.368435165395445,-0.5284894088118679,0.1100375738056897,3.1801,0.8762024568574291,0.9533333333333334,0.0572,0.0145573770491803,0.9802581666666668,0.9117275768077964,,,,,
2017-10,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.3273594779308356,1.070449293801438,0.7430898158706024,0.1121846484165324,2.7863,0.9601872703815456,0.925,0.008,0.0046,0.9824793333333334,0.9516945587236764,,,,,
2017-11,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,1.1812629603205185,0.3921113581620945,-0.789151602158424,0.0998389694041868,3.2346,0.8086945070472775,0.4866666666666667,0.0018,0.0646,0.9584248333333334,0.8679071692322123,,,,,
2017-12,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.5024787209669748,0.3633290186549537,-0.139149702312021,0.1073537305421363,2.7142,0.9420466956562198,0.8866666666666667,0.011,0.0188,0.9774318333333334,0.9171026880702048,,,,,
2018-01,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,1.056736180042232,0.3205601820065114,-0.7361759980357208,0.1035963499731615,2.7042,0.8803313806297304,0.8466666666666667,0.0362,0.0384,0.952492,0.7116988465874159,,,,,
2018-02,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.5064402800291933,0.402756834390558,-0.1036834456386353,0.109500805152979,2.8925,0.9363927147446314,0.8766666666666667,0.0122,0.0136,0.9749583333333331,0.896719880176028,,,,,
2018-03,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,4.337758275042658,0.8331394311946324,-3.504618843848025,0.0950080515297906,3.4258,0.716488959305728,0.8566666666666667,0.1644,0.173,0.8700881666666667,0.5669028400369914,,,,,
2018-04,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.9197874172746394,1.0349070318455844,0.115119614570945,0.1159420289855072,2.6392,0.885516571826932,0.7716666666666666,0.0204,0.1892,0.9491355,0.8097355840210365,,,,,
2018-05,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.9636119780705692,0.365897008767983,-0.5977149693025863,0.1030595813204508,2.8503,0.8913591743297249,0.86,0.0324,0.037,0.9564398333333332,0.8129563571733438,,,,,
2018-06,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.4849648758827192,0.3354164506325578,-0.1495484252501614,0.1100375738056897,3.5223,0.945627263507892,0.8983333333333333,0.011,0.0112,0.9742158333333334,0.9104702064988118,,,,,
2018-07,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.5587828248238682,0.4787201184080175,-0.0800627064158506,0.1111111111111111,3.8585,0.9275748042001168,0.85,0.0124,0.0268,0.9635531666666666,0.9013472597733022,,,,,
2018-08,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.5030527200435672,0.342994714154159,-0.1600580058894081,0.1143317230273752,3.0009,0.930227105856852,0.825,0.0074,0.0174,0.9610081666666668,0.907892149366751,,,,,
2018-09,Random selection,Random selection,naive baseline,5600,1863,0.3327381546720546,0.3326785714285714,False,standard,0.3672445270300483,0.2710367102305021,-0.0962078167995462,0.1030595813204508,3.2814,0.947628881299195,0.8766666666666667,0.007,0.0074,0.978276,0.9320234498953518,,,,,
2018-10,Random selection,Random selection,naive baseline,5558,1849,0.3327381546720546,0.3326736236056135,False,standard,0.9597277972294465,0.6182678417647179,-0.3414599554647284,0.104380746349378,4.0927,0.8659263973608122,0.7060931899641577,0.0178,0.464,0.9056186379928316,0.7844759670186467,,,,,
2018-11,Random selection,Random selection,naive baseline,5437,1809,0.3327381546720546,0.3327202501379437,False,standard,0.701252828243076,0.3998814879692954,-0.3013713402737806,0.0818131564400221,3.6846,0.8848131169143827,0.9038901601830664,0.0334,0.0312,0.9643533180778032,0.8036389907951229,,,,,
2018-12,Random selection,Random selection,naive baseline,907,301,0.3327381546720546,0.3318632855567806,False,standard,0.7103373488625105,0.2924461036937159,-0.4178912451687946,0.0598006644518272,0.5976,0.8602980644017009,0.8245614035087719,0.0270588235294117,0.1376470588235294,0.9384313725490196,0.7304433539431302,,,,,
2016-01,Uncertainty-based selection,Uncertainty-based selection,classic AL [Chen'23-style],3820,1271,0.3327381546720546,0.3327225130890052,False,standard,1.3868637957052394,0.7165618618973062,-0.6703019338079332,0.1628638867033831,2.2909,0.7350407851336704,0.3702623906705539,0.0094909404659188,0.1541558815070463,0.9210580818053832,0.713967937985939,,,,,
2016-02,Uncertainty-based selection,Uncertainty-based selection,classic AL [Chen'23-style],4436,1476,0.3327381546720546,0.3327321911632101,False,standard,1.440845536747331,1.2075588744379802,-0.2332866623093508,0.2018970189701897,2.7184,0.7959198821303082,0.469601677148847,0.0040414246021722,0.3104319272543571,0.9192747676260284,0.791986993353985,,,,,
2016-03,Uncertainty-based selection,Uncertainty-based selection,classic AL [Chen'23-style],6454,2147,0.3327381546720546,0.3326619150914162,False,standard,1.3746993294548058,0.5183767647498069,-0.8563225647049989,0.0982766651141127,3.5692,0.8447915499767931,0.9118110236220472,0.0647877642206564,0.0565389242137824,0.961185121236027,0.8482678629042066,,,,,
