selection_variant,inspired_by,uses_cluster,review_ratio,months,f1,f1_std,auc_pr,auc_roc,fpr_at_tpr90,mal_rate_selected,time_sec_total
Random selection,naive baseline,False,0.332650052567589,36,0.877388618656163,0.0735871539004416,0.8257710111074849,0.9456677339439534,0.1315224004868049,0.1035409009647072,94.98
Uncertainty-based selection,classic AL [Chen'23-style],False,0.332650052567589,36,0.8729342105529927,0.0774193244738898,0.8293921477440515,0.9443643541155414,0.1339635607410583,0.144601510841409,95.5831
Distance-to-centroid selection,CADE-style drift score [10],False,0.332650052567589,36,0.8543029916836682,0.0696004100732937,0.8049534479450657,0.9401650401731748,0.1506717261326917,0.1843164475129866,97.8268
Cluster-priority (ours),this work,True,0.3327381546720546,36,0.8886747911924258,0.0656606991739397,0.8340688854187353,0.9470255641342716,0.1345168182008892,,185.4678
