month,method,total,updated,n_clusters,n_new_clusters,n_pruned,drift_score,ks_stat,ks_score,confidence_shift_score,novelty_score,ks_pvalue,drift_detected,emergency_flag,drift_applied,use_drift_score,selection_strategy,actual_frac,loss_mode,loss_before,loss_after,loss_delta,mal_rate_selected,time_sec,f1,tpr,fpr,fpr_at_tpr90,auc_roc,auc_pr
2017-08,Random+Standard,5600,1681,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.3002,standard,0.360829,0.311235,-0.049595,0.0975609756097561,2.3702,0.9550071779961852,0.8933333333333333,0.006,0.0068,0.9782366666666668,0.9295181448158316
2017-09,Random+Standard,5600,1678,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2996,standard,0.366024,0.485356,0.119332,0.10488676996424315,2.5226,0.9516851196618361,0.9083333333333333,0.0096,0.0088,0.9796075,0.9382874537174732
2017-10,Random+Standard,5600,1673,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2988,standard,0.408388,0.229152,-0.179237,0.10579796772265392,2.5472,0.9426250223206227,0.9233333333333333,0.016,0.0102,0.9722841666666666,0.9335769824982268
2017-11,Random+Standard,5600,1674,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2989,standard,0.405351,0.628087,0.222736,0.11230585424133811,2.5715,0.9446617444835106,0.87,0.0074,0.0132,0.9809771666666667,0.9373675020146752
2017-12,Random+Standard,5600,1672,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2986,standard,0.68446,0.295979,-0.388481,0.10825358851674641,2.5564,0.9098015300415334,0.7433333333333333,0.004,0.0318,0.9708893333333334,0.9082013057797377
2018-01,Random+Standard,5600,1677,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2995,standard,0.873996,0.533168,-0.340828,0.10554561717352415,2.4591,0.9013259446870128,0.8583333333333333,0.0268,0.0292,0.956828,0.8078220784621698
2018-02,Random+Standard,5600,1676,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2993,standard,0.689751,0.410848,-0.278902,0.12112171837708831,2.3957,0.9135517587939699,0.8816666666666667,0.0242,0.0338,0.9683935,0.8813899932512741
2018-03,Random+Standard,5600,1676,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2993,standard,4.412797,1.083123,-3.329674,0.10143198090692124,2.8141,0.7010914251397558,0.7933333333333333,0.1632,0.1832,0.8505866666666666,0.48987811268663817
2018-04,Random+Standard,5600,1678,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2996,standard,1.467066,0.871167,-0.595899,0.10548271752085817,2.7087,0.8199133945912139,0.8766666666666667,0.0802,0.1062,0.9537876666666667,0.8129304295630417
2018-05,Random+Standard,5600,1676,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2993,standard,0.811494,0.359641,-0.451853,0.10560859188544153,2.4671,0.8698398740644376,0.6416666666666667,0.0048,0.0658,0.9485996666666666,0.8650187648406845
2018-06,Random+Standard,5600,1678,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2996,standard,0.501768,0.347344,-0.154424,0.10905840286054827,2.6285,0.9338457661290323,0.9416666666666667,0.023,0.0114,0.9774796666666666,0.922002500464058
2018-07,Random+Standard,5600,1673,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2988,standard,0.541666,0.65948,0.117814,0.10639569635385535,3.0614,0.9247954049239678,0.84,0.0122,0.0232,0.9628281666666667,0.9030920923412881
2018-08,Random+Standard,5600,1670,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2982,standard,0.875253,0.537255,-0.337998,0.10479041916167664,2.7801,0.873023435346016,0.7233333333333334,0.0182,0.0574,0.9423361666666668,0.8025486637248983
2018-09,Random+Standard,5600,1672,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2986,standard,0.609105,0.35141,-0.257695,0.09748803827751196,3.0162,0.908495137642565,0.9116666666666666,0.0316,0.0242,0.9676783333333332,0.9053262130183519
2018-10,Random+Standard,5558,1661,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2988,standard,0.969515,0.609884,-0.35963,0.09873570138470801,2.94,0.8428938001463826,0.578853046594982,0.0054,0.4422,0.9003120071684587,0.7948840093416978
2018-11,Random+Standard,5437,1628,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.2994,standard,0.518172,0.310875,-0.207297,0.08722358722358722,2.9987,0.8941030123324472,0.8627002288329519,0.0242,0.0396,0.9638480549199084,0.7958464020703949
2018-12,Random+Standard,907,276,,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,random,0.3043,standard,0.532466,0.291348,-0.241118,0.06521739130434782,0.7278,0.8857316291002382,0.7017543859649122,0.0058823529411764705,0.2023529411764706,0.9229927760577916,0.7480836807430723
2016-01,Cluster+Standard,3820,1147,25.0,5,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.3003,standard,1.386864,0.565791,-0.821072,0.11682650392327812,4.0687,0.7350407851336704,0.37026239067055394,0.009490940465918895,0.15415588150704632,0.9210580818053833,0.713967937985939
2016-02,Cluster+Standard,4436,1329,30.0,5,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2996,standard,0.856286,0.928007,0.071721,0.0963130173062453,4.7123,0.9032168812509493,0.7819706498951782,0.01338721899469563,0.1528163677696388,0.9351277745740804,0.8395044346357254
2016-03,Cluster+Standard,6454,2903,35.0,5,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.4498,standard,0.890931,0.396915,-0.494016,0.0940406476059249,6.9203,0.885297619001258,0.752755905511811,0.01615397834679498,0.08283210173569341,0.9607633424581163,0.8366510331243944
2016-04,Cluster+Standard,6981,3143,40.0,5,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.4502,standard,0.648136,0.251196,-0.396941,0.0935412026726058,7.5375,0.9076090576090576,0.7401960784313726,0.004239284032030146,0.11430365834510912,0.9624637105588034,0.8691272384009534
2016-05,Cluster+Standard,4502,2023,43.0,3,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.4494,standard,0.670848,0.389414,-0.281434,0.10034602076124567,5.5179,0.9071757968590279,0.7765486725663717,0.010123456790123457,0.06617283950617284,0.9592292144652026,0.888590933885384
2016-06,Cluster+Standard,3085,1389,44.0,2,1,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.4502,standard,0.56312,0.606819,0.0437,0.09143268538516919,3.9917,0.9238942318640362,0.8741007194244604,0.015318845742785893,0.033843961524759526,0.9661637273722169,0.8803509499155502
2016-07,Cluster+Standard,3377,1518,46.0,2,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.4495,standard,0.780032,0.400228,-0.379804,0.10737812911725955,4.4114,0.9085067732622696,0.8920454545454546,0.027768595041322314,0.027768595041322314,0.9754484410217882,0.8888469154463913
2016-08,Cluster+Standard,5447,2451,48.0,2,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.45,standard,0.672345,0.51258,-0.159765,0.10240718074255406,6.5696,0.9172156536540811,0.8315602836879432,0.014130657382756501,0.06860536555396272,0.9544488186689092,0.8815649310521577
