month,cluster_id,n_members_current_month,cluster_birth_month_index,cluster_age,is_new,drift_detected,drift_applied,n_new_clusters_month,cos_sim_backproj_vs_member_mean,topk_bucket_overlap_vs_member_mean,malicious_rate_current_month,cluster_error_rate_current_month,top_features,analysis_only_full_labels
2016-02,1,147,0,2,False,True,False,5,0.953208327293396,0.6666666666666666,0.013605442176870748,0.061224489795918366,intents::android_intent_action_MAIN(+0.196); intents::android_intent_category_LAUNCHER(+0.195); interesting_calls::getSystemService(+0.195); api_permissions::android_permission_INTERNET(+0.193); app_permissions::name='android_permission_INTERNET'(+0.191); api_permissions::android_permission_VIBRATE(+0.187); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.183); interesting_calls::getPackageInfo(+0.181); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.175); interesting_calls::printStackTrace(+0.175),True
2016-02,2,19,0,2,False,True,False,5,0.9410817623138428,0.3333333333333333,0.0,0.0,intents::android_intent_action_MAIN(+0.210); intents::android_intent_category_LAUNCHER(+0.209); app_permissions::name='android_permission_INTERNET'(+0.208); api_permissions::android_permission_INTERNET(+0.204); interesting_calls::getSystemService(+0.203); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.194); activities::com_google_ads_AdActivity(+0.192); interesting_calls::Cipher(AES/CBC/PKCS5Padding)(+0.191); api_calls::android/content/ContentResolver;->query(+0.190); urls::http://media_admob_com/mraid/v1/mraid_app_expanded_banner_js(+0.190),True
2016-02,3,192,0,2,False,True,False,5,0.9915602207183838,0.3333333333333333,0.041666666666666664,0.026041666666666668,urls::http://plus_google_com/(+0.163); interesting_calls::getSystemService(+0.158); api_permissions::android_permission_INTERNET(+0.158); urls::http://schemas_android_com/apk/lib/com_google_android_gms_plus(+0.158); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.158); intents::android_intent_action_MAIN(+0.158); urls::https://www_googleapis_com/auth/games_firstparty(+0.157); intents::android_intent_category_LAUNCHER(+0.157); urls::https://www_googleapis_com/auth/games(+0.157); urls::https://www_googleapis_com/auth/appstate(+0.157),True
2016-02,4,216,0,2,False,True,False,5,0.9439946413040161,0.6666666666666666,0.018518518518518517,0.018518518518518517,api_permissions::android_permission_WAKE_LOCK(+0.285); interesting_calls::Read/Write External Storage(+0.270); interesting_calls::getSystemService(+0.265); intents::android_intent_action_MAIN(+0.264); intents::android_intent_category_LAUNCHER(+0.263); api_calls::android/os/PowerManager$WakeLock;->acquire(+0.262); api_permissions::android_permission_INTERNET(+0.261); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.248); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.247); api_calls::android/content/Context;->startActivity(+0.247),True
2016-02,5,123,0,2,False,True,False,5,0.8074579238891602,0.5384615384615384,0.0,0.0,api_calls::android/app/Activity;->startActivity(+0.244); interesting_calls::printStackTrace(+0.242); intents::android_intent_action_MAIN(+0.239); intents::android_intent_category_LAUNCHER(+0.238); interesting_calls::Read/Write External Storage(+0.236); api_permissions::android_permission_INTERNET(+0.234); interesting_calls::getSystemService(+0.233); api_calls::android/content/ContentResolver;->openInputStream(+0.226); app_permissions::name='android_permission_INTERNET'(+0.220); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.219),True
2016-02,6,207,0,2,False,True,False,5,0.9697374701499939,0.8181818181818182,0.34299516908212563,0.08695652173913043,intents::android_intent_action_MAIN(+0.234); intents::android_intent_category_LAUNCHER(+0.234); interesting_calls::getSystemService(+0.232); api_permissions::android_permission_INTERNET(+0.231); app_permissions::name='android_permission_INTERNET'(+0.217); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.216); interesting_calls::Read/Write External Storage(+0.209); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.195); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.185); interesting_calls::getPackageInfo(+0.183),True
2016-02,7,220,0,2,False,True,False,5,0.9926360249519348,0.17647058823529413,0.031818181818181815,0.022727272727272728,api_permissions::android_permission_READ_CONTACTS(+0.149); urls::https://www_googletagmanager_com(+0.149); urls::http://hostname/?(+0.149); urls::http://www_google_com(+0.147); urls::https://www_googleapis_com/auth/drive_appdata(+0.146); interesting_calls::getSystemService(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_interstitial_js(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_banner_js(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_expanded_banner_js(+0.146); urls::https://www_googleapis_com/auth/drive_file(+0.146),True
2016-02,8,133,0,2,False,True,False,5,0.9698719382286072,0.5384615384615384,0.06015037593984962,0.022556390977443608,intents::android_intent_action_MAIN(+0.246); intents::android_intent_category_LAUNCHER(+0.245); interesting_calls::getSystemService(+0.238); api_permissions::android_permission_INTERNET(+0.235); app_permissions::name='android_permission_INTERNET'(+0.226); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.216); interesting_calls::printStackTrace(+0.213); interesting_calls::Read/Write External Storage(+0.205); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.203); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.199),True
2016-02,9,78,0,2,False,True,False,5,0.8601430654525757,0.25,0.14102564102564102,0.0641025641025641,intents::android_intent_action_MAIN(+0.133); intents::android_intent_category_LAUNCHER(+0.131); interesting_calls::getSystemService(+0.131); api_permissions::android_permission_INTERNET(+0.131); app_permissions::name='android_permission_INTERNET'(+0.130); api_permissions::android_permission_READ_CONTACTS(+0.130); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.129); interesting_calls::getPackageInfo(+0.128); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.127); urls::http://twitter4j_org/(+0.127),True
2016-02,10,83,0,2,False,True,False,5,0.9129512310028076,0.5384615384615384,0.024096385542168676,0.024096385542168676,intents::android_intent_action_MAIN(+0.347); intents::android_intent_category_LAUNCHER(+0.345); interesting_calls::getSystemService(+0.304); api_permissions::android_permission_INTERNET(+0.304); app_permissions::name='android_permission_INTERNET'(+0.303); api_calls::android/webkit/WebView(+0.233); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.229); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.225); activities::_MainActivity(+0.198); interesting_calls::getPackageInfo(+0.191),True
2016-02,12,140,0,2,False,True,False,5,0.9300839900970459,0.6666666666666666,0.0,0.0,interesting_calls::getPackageInfo(+0.206); app_permissions::name='android_permission_INTERNET'(+0.205); intents::android_intent_action_MAIN(+0.203); intents::android_intent_category_LAUNCHER(+0.203); interesting_calls::Cipher(AES/CBC/PKCS5Padding)(+0.202); interesting_calls::getSystemService(+0.201); api_permissions::android_permission_INTERNET(+0.201); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.200); interesting_calls::Obfuscation(Base64)(+0.200); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.199),True
