method,months,mean_time_sec_per_month,total_time_sec,mean_updated,label_update_ratio
Static,36,2.240113888888889,80.64410000000001,0.0,0.0
PeriodicRetraining,36,35.56590555555556,1280.3726000000001,81626.41666666667,17.259501811966615
FullLabelUpdate,36,2.1224749999999997,76.40909999999998,4729.361111111111,1.0
RandomSelectiveUpdate,36,2.1452138888888888,77.2277,1418.638888888889,0.29996417181085067
UncertaintyOnlyUpdate,36,2.146827777777778,77.2858,1418.638888888889,0.29996417181085067
DriftOnlyUpdate,36,2.153394444444445,77.52220000000001,1418.638888888889,0.29996417181085067
Proposed,36,5.151883333333334,185.4678,1573.638888888889,0.3327381546720546
